loss,categorical_accuracy,val_loss,val_categorical_accuracy
1.1156,0.5872,3.3755,0.3176
0.7912,0.7158,2.3384,0.4593
0.5678,0.7998,2.9115,0.4522
0.4556,0.8399,2.4459,0.4714
0.3751,0.8683,1.5111,0.5863
0.3167,0.8890,1.6359,0.6082
0.2632,0.9082,1.3036,0.6508
0.2290,0.9204,1.2235,0.6632
0.2023,0.9279,1.0967,0.7123
0.1802,0.9384,1.1682,0.7009
0.1563,0.9462,1.4785,0.6546
0.1456,0.9491,0.9371,0.7639
0.1314,0.9547,1.0745,0.7372
0.1213,0.9568,0.8961,0.7678
0.1079,0.9623,0.8701,0.7823
0.0997,0.9655,0.8370,0.7931
0.0944,0.9668,0.8567,0.7774
0.0854,0.9701,0.8554,0.7918
0.0796,0.9723,1.0625,0.7639
0.0765,0.9735,0.8443,0.7908
0.0950,0.9654,1.0909,0.7586
0.0854,0.9697,0.9874,0.7859
0.0829,0.9701,0.8743,0.7876
0.0758,0.9732,1.0055,0.7696
0.0684,0.9761,0.7512,0.8041
0.0692,0.9758,0.9888,0.7533
0.0553,0.9805,1.0185,0.7763
0.0612,0.9792,1.1780,0.7617
0.0547,0.9804,0.7371,0.8208
0.0583,0.9800,0.9191,0.7921
0.0507,0.9822,0.8668,0.8100
0.0547,0.9810,0.7808,0.8243
0.0480,0.9837,0.6900,0.8396
0.0483,0.9834,0.9138,0.7996
0.0436,0.9852,1.0278,0.7900
0.0462,0.9843,1.0757,0.7902
0.0447,0.9842,0.9444,0.8071
0.0437,0.9850,0.7466,0.8342
0.0390,0.9868,0.7568,0.8290
0.0403,0.9859,0.8590,0.8251
0.0379,0.9872,0.8404,0.8261
0.0373,0.9871,0.6834,0.8540
0.0355,0.9877,0.9845,0.8210
0.0400,0.9862,0.6917,0.8561
0.0383,0.9871,0.7221,0.8451
0.0334,0.9884,1.0939,0.7914
0.0344,0.9882,0.6864,0.8561
0.0291,0.9902,0.6886,0.8581
0.0351,0.9884,0.6734,0.8571
0.0338,0.9883,0.8479,0.8194
0.0353,0.9888,0.6945,0.8499
0.0271,0.9907,0.6666,0.8565
0.0281,0.9904,0.6712,0.8589
0.0257,0.9911,0.7286,0.8546